Id,Prob1,Prob2
3,1.0,0.0
4,0.0,1.0
6,1.0,0.0
7,1.0,0.0
9,0.6666666666666666,0.3333333333333333
13,0.0,1.0
14,0.0,1.0
16,0.0,1.0
18,1.0,0.0
20,0.3333333333333333,0.6666666666666666
21,1.0,0.0
23,1.0,0.0
33,0.0,1.0
35,0.0,1.0
38,1.0,0.0
46,0.0,1.0
50,1.0,0.0
51,1.0,0.0
53,1.0,0.0
55,1.0,0.0
56,1.0,0.0
63,1.0,0.0
65,0.6666666666666666,0.3333333333333333
67,1.0,0.0
69,1.0,0.0
71,1.0,0.0
72,1.0,0.0
75,0.3333333333333333,0.6666666666666666
86,0.0,1.0
91,0.0,1.0
92,0.0,1.0
94,0.6666666666666666,0.3333333333333333
97,1.0,0.0
101,0.3333333333333333,0.6666666666666666
103,0.6666666666666666,0.3333333333333333
108,0.6666666666666666,0.3333333333333333
111,1.0,0.0
112,1.0,0.0
113,1.0,0.0
115,1.0,0.0
116,1.0,0.0
121,1.0,0.0
